Funds Center,Name,From,To,User Name,Person Respons.,Fund
10999100,HQ-Corporate Accts,01.04.2006,31.12.9999,SUPPORT_FI01,Mr. Prabhat Gupta,
10999101,HQ - Fund Mgmt -I,01.04.2006,31.12.9999,SUPPORT_FI01,Mr. Vinit Bohra,
10999102,HQ - Loan Mgmt,01.04.2006,31.12.9999,SUPPORT_FI01,Mr. Vinit Bohra,
10999192,HPU Lucknow,01.04.2006,31.12.9999,SUPPORT_FI01,Sri D.C.Kandpal,
10999193,HQ - Fund Mgmt-II,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Saumitra Bajpai,
11100104,ETC-I - Prayagraj,01.04.2006,31.12.9999,SUPPORT_FI01,Sri R.K Mishra,
11100105,ETD I - Prayagraj,01.04.2006,31.12.9999,SUPPORT_FI01,Sri S. K. Morya,
11100106,ETD - Pratapgargh,01.04.2006,31.12.9999,SUPPORT_FI01,Sri  Rahul Maurya,
11100107,"EFU-Naini, Prayagraj",01.04.2006,31.12.9999,SUPPORT_FI01,Sri Sanjai Sharma,
11100108,ETD - Fatehpur,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Amrendra Kumar,
11101109,ETD II - Prayagraj,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Shailendra Chatu,
11101110,ETD III - Prayagraj,01.04.2006,31.12.9999,SUPPORT_FI01,Sri S.K. Verma,
11101111,ETD IV - Prayagraj,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Manoj Kumar,
11102112,ETD - Robertsganj,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Ashok,
11102113,E 765 KV SD - Anpara,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Prithviraj Singh,
11102114,ETD - Mirzapur,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Vijayandra Singh,
11102115,ETD IV - Varanasi,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Chandra Shekhar,
11102293,ETC-Mirzapur,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Shailendra Chatu,
11103116,ETC - Varansi,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Vinet Kumar,
