Mat.Typ,Material,Base Unit of Measure,Mat.Desc,Plant,Mat.Grp,Mat.Grp Desc,Sub group,Sub Group Desc,Split Valuation Status,Serial Number Status
ZSPR,4000003506,NO,"PLATE,GALVANIZED",4219,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000003505,NO,"PLATE,COVER,NGK,FOR POST INSUL 8 HOLES",3149,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000003504,NO,"PLATE,COVER,NGK,FOR POST INSUL 4 HOLES",4166,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000003503,NO,"PLATE,ALUMINUM",4127,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000003502,NO,"PIPE,FLEXIBLE",4220,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000003500,NO,"PIPE,CU,8/6MM",4219,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000003499,NO,"PIPE,CU,5/8IN",2103,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000003495,NO,"PIPE,CU,14MM",4247,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000003408,NO,"CLAMP,SURGE CAPACITOR,40KA",4273,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000003407,NO,TNC SPARES:KEY,4189,M0046,MISC. MATERIAL,EX-M0046-002,MISC. SPARE PARTS,YES,NO
ZSPR,4000003406,NO,TNC SPARES:EXPOSURE METER,4175,M0046,MISC. MATERIAL,EX-M0046-002,MISC. SPARE PARTS,YES,NO
ZSPR,4000003405,NO,EOT SPARES:MANOMETER,4183,M0046,MISC. MATERIAL,EX-M0046-002,MISC. SPARE PARTS,YES,NO
