Activity number,Material Group,Mat/Srv Group Desc.,Base Unit,Service Category,Service Category.1,Valuation Class,Val. Class Desc.,G/L Account,Service Short Text,Service Long Text,Deletion Indicator
300000,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O BHISTI,S/O BHISTI,
300001,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O BELDAR,S/O BELDAR,
300002,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O COOLIE,S/O COOLIE,
300003,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O BLACK SMITH,S/O BLACK SMITH,
300004,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O MISTRI,S/O MISTRI,
300005,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O MASON,S/O MASON,
300006,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O MAZDOOR,S/O MAZDOOR,
300007,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O CARPENTER. MISTRI,S/O CARPENTER. MISTRI,
300008,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O WORK SUPERVISOR,S/O WORK SUPERVISOR,
300009,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O CARPENTER,S/O CARPENTER,
300010,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O GLAZIER,S/O GLAZIER,
300011,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O PAINTER,S/O PAINTER,
300012,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O HELPER,S/O HELPER,
300013,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O WHITE WASHER,S/O WHITE WASHER,
300014,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O PLUMBER,S/O PLUMBER,
300015,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O FITTER,S/O FITTER,
300016,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O TUBE WELL OPERATOR,S/O TUBE WELL OPERATOR,
300017,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O MATE,S/O MATE,
300018,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O HAMMER MAN,S/O HAMMER MAN,
300019,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O RIVETTER,S/O RIVETTER,
300020,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O BELDAR FOR HOT WORK,S/O BELDAR FOR HOT WORK,
